time,open,high,low,close,ema12,ema26
2026.07.23 17:00,4043.24,4061.66,4040.11,4057.83,4085.5403400880,4099.2261802659
2026.07.23 18:00,4057.86,4059.46,4042.26,4048.66,4079.8664416129,4095.4805372833
2026.07.23 19:00,4048.66,4051.78,4045.76,4051.46,4075.4962198263,4092.2197567438
2026.07.23 20:00,4051.52,4054.60,4041.63,4041.83,4070.3168013915,4088.4871821702
2026.07.23 21:00,4041.83,4048.40,4040.67,4046.06,4066.5849857928,4085.3444279353
2026.07.23 22:00,4046.12,4051.19,4042.84,4049.66,4063.9811418247,4082.7011369772
2026.07.24 01:00,4032.03,4050.47,4032.03,4049.55,4061.7609661593,4080.2454972011
2026.07.24 02:00,4049.55,4050.73,4046.56,4047.02,4059.4931252117,4077.7843492602
2026.07.24 03:00,4047.01,4050.82,4041.16,4049.70,4057.9864905638,4075.7040270928
2026.07.24 04:00,4049.65,4050.36,4040.04,4043.58,4055.7701074001,4073.3244695304
2026.07.24 05:00,4043.58,4048.32,4022.93,4024.35,4050.9362447232,4069.6967310467
2026.07.24 06:00,4024.35,4033.66,4022.98,4029.29,4047.6060532273,4066.7036398580
2026.07.24 07:00,4029.18,4030.34,4025.49,4027.00,4044.4358911923,4063.7626294982
2026.07.24 08:00,4027.00,4032.18,4021.82,4023.04,4041.1442156243,4060.7461384242
2026.07.24 09:00,4023.03,4038.94,4022.89,4035.59,4040.2897209129,4058.8827207632
2026.07.24 10:00,4035.60,4053.61,4034.90,4048.40,4041.5374561570,4058.1062229289
2026.07.24 11:00,4048.36,4058.65,4045.02,4057.43,4043.9824629021,4058.0561323415
2026.07.24 12:00,4057.50,4060.76,4051.57,4059.74,4046.4066993787,4058.1808632792
2026.07.24 13:00,4059.79,4063.82,4057.05,4060.04,4048.5041302435,4058.3185771104
2026.07.24 14:00,4060.03,4063.38,4051.35,4057.75,4049.9265717445,4058.2764602874
2026.07.24 15:00,4057.73,4060.06,4051.64,4054.56,4050.6394068607,4058.0011669328
2026.07.24 16:00,4054.15,4068.59,4044.61,4067.24,4053.1933442668,4058.6855249377
2026.07.24 17:00,4067.24,4070.01,4055.90,4063.33,4054.7528297642,4059.0295601275
2026.07.24 18:00,4063.34,4082.04,4061.80,4077.38,4058.2339328774,4060.3888519699
2026.07.24 19:00,4077.43,4078.16,4064.11,4066.98,4059.5794816655,4060.8770851574
2026.07.24 20:00,4067.00,4069.84,4062.85,4063.34,4060.1580229477,4061.0595232938
2026.07.24 21:00,4063.38,4064.51,4051.10,4054.37,4059.2675578788,4060.5640030499
2026.07.24 22:00,4054.38,4057.92,4049.16,4053.67,4058.4063951283,4060.0533361573
2026.07.27 01:00,4088.39,4096.67,4009.11,4089.40,4063.1746420316,4062.2271631086
2026.07.27 02:00,4089.44,4096.25,4083.62,4093.99,4067.9154663344,4064.5799658413
2026.07.27 03:00,4093.90,4116.23,4090.64,4100.77,4072.9700099753,4067.2607091123
2026.07.27 04:00,4100.76,4112.50,4096.87,4110.08,4078.6792392099,4070.4325084373
2026.07.27 05:00,4110.07,4110.94,4093.49,4093.49,4080.9578177930,4072.1404707753
2026.07.27 06:00,4093.49,4095.85,4085.06,4090.96,4082.4966150556,4073.5345099771
2026.07.27 07:00,4090.96,4092.81,4087.01,4090.27,4083.6925204316,4074.7741759047
2026.07.27 08:00,4090.27,4094.78,4084.36,4093.11,4085.1413634422,4076.1323850970
2026.07.27 09:00,4093.14,4099.32,4091.21,4096.07,4086.8226921434,4077.6092454602
2026.07.27 10:00,4095.88,4106.01,4088.42,4088.59,4087.0945856598,4078.4226346853
2026.07.27 11:00,4088.59,4096.86,4087.02,4095.18,4088.3384955583,4079.6639210049
2026.07.27 12:00,4095.18,4100.39,4090.43,4096.08,4089.5294962416,4080.8799268564
2026.07.27 13:00,4095.91,4102.34,4086.43,4099.37,4091.0434198967,4082.2495619041
2026.07.27 14:00,4099.47,4104.12,4093.57,4093.87,4091.4782783742,4083.1103350964
2026.07.27 15:00,4093.82,4097.66,4081.43,4083.71,4090.2831586243,4083.1547547189
2026.07.27 16:00,4083.69,4089.49,4070.36,4074.11,4087.7949803744,4082.4847728879
2026.07.27 17:00,4074.16,4079.03,4065.30,4076.23,4086.0157526245,4082.0214563776
2026.07.27 18:00,4076.21,4079.81,4071.81,4078.37,4084.8394829900,4081.7509781274
2026.07.27 19:00,4078.38,4093.92,4077.66,4082.28,4084.4457163761,4081.7901649328
2026.07.27 20:00,4082.30,4082.30,4070.59,4076.39,4083.2063753952,4081.3901527156
2026.07.27 21:00,4076.40,4079.48,4072.85,4077.93,4082.3946253344,4081.1338451070
2026.07.27 22:00,4077.93,4089.27,4076.05,4083.37,4082.5446829752,4081.2994862102
2026.07.28 01:00,4063.21,4081.42,4063.21,4074.11,4081.2470394406,4080.7669316761
2026.07.28 02:00,4074.09,4074.91,4069.85,4073.24,4080.0151872190,4080.2093811816
2026.07.28 03:00,4073.25,4074.13,4057.39,4057.80,4076.5974661084,4078.5494270200
2026.07.28 04:00,4057.68,4060.18,4042.46,4045.13,4071.7563174763,4076.0739139074
2026.07.28 05:00,4045.14,4049.01,4040.63,4042.00,4067.1784224799,4073.5499202846
2026.07.28 06:00,4041.93,4051.12,4040.28,4049.38,4064.4402036369,4071.7595558191
2026.07.28 07:00,4049.38,4049.57,4041.46,4042.10,4061.0032492312,4069.5625516843
2026.07.28 08:00,4041.99,4046.46,4034.61,4045.18,4058.5689031956,4067.7564367448
2026.07.28 09:00,4045.07,4052.29,4042.75,4048.40,4057.0044565502,4066.3226266155
2026.07.28 10:00,4048.40,4052.38,4046.11,4047.24,4055.5022324655,4064.9090987181
2026.07.28 11:00,4047.24,4055.09,4041.60,4045.42,4053.9511197785,4063.4654617760
2026.07.28 12:00,4045.31,4045.91,4019.32,4023.38,4049.2478705818,4060.4961683111
2026.07.28 13:00,4023.15,4028.51,4016.89,4026.51,4045.7497366462,4057.9786743621
2026.07.28 14:00,4026.34,4032.33,4023.16,4028.07,4043.0297771621,4055.7632170020
2026.07.28 15:00,4028.07,4038.07,4022.92,4029.35,4040.9251960603,4053.8066824092
2026.07.28 16:00,4029.37,4036.03,4020.26,4021.98,4038.0105505125,4051.4491503789
2026.07.28 17:00,4021.96,4033.37,4011.51,4024.41,4035.9181581260,4049.4462503509
2026.07.28 18:00,4024.42,4047.04,4022.15,4045.99,4037.4676722605,4049.1902318063
2026.07.28 19:00,4045.99,4046.50,4036.54,4037.49,4037.4711072973,4048.3235479688
2026.07.28 20:00,4037.67,4041.50,4025.78,4027.84,4035.9893984823,4046.8062481193
2026.07.28 21:00,4027.86,4030.40,4021.66,4022.94,4033.9817987158,4045.0383778882
2026.07.28 22:00,4022.92,4028.00,4021.90,4026.38,4032.8122912211,4043.6562758224
